a contrario	ADV
a fortiori	ADV
a minima	ADV
a priori	ADV
à tout le moins	ADV
ah bon	INTJ
ainsi de suite	ADV
ainsi que	CCONJ
alors que	SCONJ
aujourd' hui	ADV
bien que	SCONJ
bien sur	ADV
bien sûr	ADV
ce être - à - dire	CCONJ
de abord	ADV
de accord	ADV
de ailleurs	ADV
de après	ADP
de autant plus que	SCONJ
de autant plus	ADV
de autant que	SCONJ
de emblée	ADV
de facto	ADV
de même que	SCONJ
de même	ADV
de nouveau	ADV
de ores et déjà	ADV
de par	ADP
de sorte que	SCONJ
dès lors que	SCONJ
dès lors	ADV
en tant que	ADP
et puis	CCONJ
ex officio	ADV
globe trotter	NOUN
grosso modo	ADV
horresco referens	ADV
hors pair	ADJ
in extremis	ADV
low cost	ADJ
ou bien	CCONJ
parce que	SCONJ
quand bien même	SCONJ
quand même	ADV
si bien que	SCONJ
statu quo	NOUN
tandis que	SCONJ
tout à fait	ADV
tout à le heure	ADV
